dir,entry_time,entry,sl,risk,exit_time,exit,r,outcome,full_sl
Long,2025-12-03 04:00:00,4221.06,4213.350153389622,7.709846610378122,2025-12-03 07:35:00,4213.350153389622,-1.019455639986141,SL,True
Short,2025-12-03 11:05:00,4198.88,4205.621080391443,6.741080391442907,2025-12-03 13:30:00,4205.621080391443,-1.031152276460956,SL,True
Long,2025-12-03 15:15:00,4220.8,4213.983993060031,6.816006939969203,2025-12-03 15:50:00,4234.4320138799385,1.9706573068716688,TP4,False
Long,2025-12-03 16:30:00,4238.95,4226.320225613152,12.629774386848453,2025-12-03 16:45:00,4226.320225613152,-1.0118766967172317,SL,True
Short,2025-12-04 05:00:00,4194.21,4202.447476332175,8.237476332175074,2025-12-04 07:50:00,4177.73504733565,1.9745067552813576,TP4,False
Long,2025-12-04 16:45:00,4202.81,4191.900320210542,10.909679789457853,2025-12-04 17:05:00,4191.900320210542,-1.0192489609276314,SL,True
Long,2025-12-05 06:10:00,4213.68,4207.981662280966,5.698337719034164,2025-12-05 08:05:00,4225.076675438068,1.963147147404272,TP4,False
Long,2025-12-05 09:55:00,4224.39,4218.833749918107,5.556250081893324,2025-12-05 11:05:00,4218.833749918107,-1.016197975014342,SL,True
Short,2025-12-05 11:05:00,4218.63,4224.166489024682,5.53648902468151,2025-12-05 11:35:00,4224.166489024682,-1.037930175435056,SL,True
Long,2025-12-05 14:55:00,4228.73,4223.647620515967,5.082379484032924,2025-12-05 15:05:00,4223.647620515967,-1.0413192286525228,SL,True
Long,2025-12-05 15:50:00,4236.98,4228.978018821931,8.001981178068705,2025-12-05 16:35:00,4228.978018821931,-1.0112472146580962,SL,True
Long,2025-12-05 16:45:00,4242.45,4233.705964845713,8.7440351542868,2025-12-05 18:05:00,4233.705964845713,-1.0114363675620137,SL,True
Short,2025-12-05 18:05:00,4226.17,4238.604043977809,12.4340439778085,2025-12-05 18:20:00,4201.301912044383,1.983915128468492,TP4,False
Short,2025-12-08 01:10:00,4197.18,4206.860573931444,9.68057393144395,2025-12-08 02:05:00,4205.48,-0.8956080560304195,REV,False
Long,2025-12-08 02:05:00,4205.48,4196.78938823752,8.690611762479314,2025-12-08 16:45:00,4196.78938823752,-1.0241640066015556,SL,True
Short,2025-12-09 08:05:00,4174.54,4180.0493773974595,5.509377397459483,2025-12-09 08:30:00,4180.0493773974595,-1.0254112197985523,SL,True
Short,2025-12-09 09:10:00,4182.81,4188.419995148665,5.609995148665251,2025-12-09 10:00:00,4186.4,-0.6773624395920101,REV,False
Long,2025-12-09 10:00:00,4186.4,4180.569540817857,5.830459182142417,2025-12-09 11:00:00,4198.060918364285,1.9639822536374028,TP4,False
Long,2025-12-09 18:10:00,4218.42,4206.712376224787,11.70762377521331,2025-12-09 19:20:00,4206.712376224787,-1.0128121643537749,SL,True
Short,2025-12-09 19:30:00,4204.52,4214.375003748888,9.855003748888047,2025-12-09 21:55:00,4214.375003748888,-1.020294259149534,SL,True
Short,2025-12-10 10:40:00,4199.61,4204.79099722309,5.180997223089997,2025-12-10 12:30:00,4189.24800555382,1.9806986964682112,TP4,False
Long,2025-12-11 16:20:00,4230.72,4221.29941772381,9.420582276190274,2025-12-11 17:40:00,4249.56116455238,1.9957539779572369,TP4,False
Long,2025-12-11 17:40:00,4254.74,4242.814445645667,11.925554354333498,2025-12-11 18:50:00,4278.591108708667,1.9932917164583863,TP4,False
Long,2025-12-11 19:05:00,4280.67,4268.8838543345855,11.786145665414242,2025-12-11 20:55:00,4268.8838543345855,-1.0067876303476433,SL,True
Long,2025-12-12 09:30:00,4288.89,4283.753971047134,5.13602895286676,2025-12-12 10:35:00,4299.1620579057335,1.9844237638193796,TP4,False
Long,2025-12-12 11:00:00,4312.94,4306.044508315773,6.895491684226785,2025-12-12 12:40:00,4326.730983368453,1.9883982167387548,TP4,False
Long,2025-12-12 12:40:00,4328.02,4319.919237402031,8.100762597969128,2025-12-12 15:30:00,4344.221525195939,1.9901243865583707,TP4,False
Long,2025-12-12 15:35:00,4343.52,4334.439514792465,9.080485207535068,2025-12-12 15:45:00,4334.439514792465,-1.0088101019022446,SL,True
Short,2025-12-15 09:35:00,4336.05,4342.046084711973,5.9960847119725145,2025-12-15 10:05:00,4342.046084711973,-1.0133420396547344,SL,True
Short,2025-12-15 12:40:00,4338.61,4344.598281426527,5.988281426527027,2025-12-15 14:00:00,4344.598281426527,-1.0133594255684197,SL,True
Short,2025-12-15 16:10:00,4329.0,4337.636122545525,8.636122545525218,2025-12-15 17:25:00,4311.7277549089495,1.9907365835097661,TP4,False
Short,2025-12-15 18:00:00,4307.52,4322.692764207848,15.172764207847653,2025-12-16 07:30:00,4277.174471584305,1.9947273945008235,TP4,False
Short,2025-12-16 12:05:00,4278.16,4285.43029529498,7.270295294979882,2025-12-16 14:05:00,4285.43029529498,-1.0110036795968484,SL,True
Long,2025-12-16 15:30:00,4307.46,4299.663518622996,7.796481377004129,2025-12-16 16:15:00,4323.052962754008,1.9897389609322857,TP4,False
Long,2025-12-16 16:15:00,4326.4,4315.986480665404,10.413519334595566,2025-12-16 17:15:00,4315.986480665404,-1.007682321166314,SL,True
Short,2025-12-16 18:15:00,4306.17,4319.813069454312,13.643069454312275,2025-12-17 03:10:00,4319.813069454312,-1.005863783092799,SL,True
Long,2025-12-17 05:00:00,4318.45,4310.744441363146,7.705558636853767,2025-12-17 07:10:00,4333.861117273707,1.9896178844688324,TP4,False
Long,2025-12-17 07:35:00,4338.16,4330.936829899593,7.223170100406251,2025-12-17 08:20:00,4330.936829899593,-1.011075469480617,SL,True
Short,2025-12-17 08:35:00,4327.39,4334.678136617167,7.2881366171664475,2025-12-17 10:05:00,4312.8137267656675,1.9890232573561175,TP4,False
Short,2025-12-17 10:05:00,4311.52,4319.300432686364,7.780432686363154,2025-12-17 10:40:00,4319.300432686364,-1.0102822045026423,SL,True
Long,2025-12-17 15:30:00,4332.58,4325.074813415873,7.505186584126806,2025-12-17 16:15:00,4325.074813415873,-1.010659295289117,SL,True
Long,2025-12-17 16:30:00,4337.35,4325.920676966259,11.429323033741445,2025-12-17 17:50:00,4325.920676966259,-1.006999539672124,SL,True
Short,2025-12-18 11:35:00,4322.73,4328.175708748747,5.44570874874681,2025-12-18 13:05:00,4328.175708748747,-1.0146904661434135,SL,True
Short,2025-12-18 15:10:00,4316.42,4321.723837963768,5.3038379637684026,2025-12-18 15:15:00,4321.723837963768,-1.0150834170550398,SL,True
Long,2025-12-18 18:10:00,4362.3,4347.937651273838,14.362348726161638,2025-12-18 19:05:00,4347.937651273838,-1.0055701195901678,SL,True
Short,2025-12-19 03:20:00,4317.73,4324.719257404879,6.989257404878808,2025-12-19 04:00:00,4324.719257404879,-1.0114461373170167,SL,True
Short,2025-12-19 04:10:00,4324.21,4332.202658836232,7.992658836232705,2025-12-19 11:45:00,4332.202658836232,-1.0100091848831243,SL,True
Long,2025-12-22 03:35:00,4377.7,4368.843545097213,8.856454902787233,2025-12-22 06:05:00,4395.412909805575,1.9909670403250734,TP4,False
Short,2025-12-22 10:35:00,4407.62,4415.056325675922,7.436325675922552,2025-12-22 12:05:00,4415.056325675922,-1.0107580011266806,SL,True
Long,2025-12-22 15:25:00,4418.63,4410.683665166235,7.946334833765322,2025-12-22 17:10:00,4416.04,-0.3360039635700806,REV,False
Short,2025-12-22 17:10:00,4416.04,4427.478684253708,11.438684253707454,2025-12-22 17:40:00,4427.478684253708,-1.0069938113707835,SL,True
Long,2025-12-22 18:10:00,4438.06,4427.3565932823085,10.703406717691967,2025-12-23 02:05:00,4459.466813435384,1.9925257441756474,TP4,False
Long,2025-12-23 15:10:00,4494.51,4488.736094259279,5.773905740722053,2025-12-23 15:20:00,4488.736094259279,-1.013855439210815,SL,True
Short,2025-12-23 16:20:00,4464.36,4476.62220215139,12.262202151390305,2025-12-23 17:00:00,4439.835595697219,1.9934758863854671,TP4,False
Long,2025-12-24 02:05:00,4512.56,4504.066017951024,8.493982048976076,2025-12-24 04:05:00,4506.75,-0.6934321224178267,REV,False
Short,2025-12-24 04:05:00,4506.75,4517.724118439267,10.974118439267222,2025-12-24 04:55:00,4484.801763121465,1.9927101205948883,TP4,False
Short,2025-12-24 04:55:00,4477.43,4491.059032755209,13.62903275520894,2025-12-24 05:15:00,4491.059032755209,-1.005869822271081,SL,True
Short,2025-12-24 17:40:00,4453.17,4468.878755284503,15.708755284503255,2025-12-24 18:05:00,4468.878755284503,-1.005092701398112,SL,True
Long,2025-12-26 04:10:00,4506.41,4493.082265249596,13.327734750403526,2025-12-26 04:30:00,4493.082265249596,-1.0202585064196208,SL,True
Long,2025-12-26 15:55:00,4525.13,4516.0368970755,9.093102924500034,2025-12-26 16:45:00,4516.0368970755,-1.0087978768814647,SL,True
Long,2025-12-26 16:55:00,4521.07,4508.973519261214,12.096480738785061,2025-12-26 17:35:00,4545.26296147757,1.9933865062303895,TP4,False
Long,2025-12-26 17:45:00,4544.25,4532.200671414049,12.049328585950692,2025-12-26 18:50:00,4532.200671414049,-1.0066393740887525,SL,True
Short,2025-12-26 19:10:00,4526.25,4538.666954836168,12.416954836168145,2025-12-29 02:20:00,4501.416090327663,1.9935571965062937,TP4,False
Short,2025-12-29 08:35:00,4489.6,4502.131199604907,12.531199604906877,2025-12-29 09:00:00,4464.537600790187,1.9936159344258704,TP4,False
Short,2025-12-29 10:45:00,4461.22,4477.186623156837,15.966623156837004,2025-12-29 15:40:00,4429.286753686326,1.9949895479329685,TP4,False
Short,2025-12-29 15:40:00,4429.6,4444.064733024007,14.464733024006645,2025-12-29 16:00:00,4400.670533951987,1.9944693068398236,TP4,False
Short,2025-12-29 17:20:00,4315.91,4344.936634393414,29.026634393414888,2025-12-29 18:50:00,4344.936634393414,-1.0027560894217125,SL,True
Long,2025-12-29 18:50:00,4345.63,4324.168974261255,21.461025738745295,2025-12-29 19:25:00,4324.168974261255,-1.0037276876218986,SL,True
Short,2025-12-30 15:30:00,4384.36,4395.667364083356,11.307364083356047,2025-12-30 16:45:00,4361.745271833288,1.992924964703481,TP4,False
Short,2025-12-30 18:05:00,4356.01,4371.811354851334,15.801354851333958,2025-12-30 18:55:00,4371.811354851334,-1.0050628569988027,SL,True
Short,2025-12-31 01:25:00,4334.23,4344.397113070603,10.167113070603667,2025-12-31 02:40:00,4344.397113070603,-1.00786850696401,SL,True
